NOME;IDADE;E_MAIL;ESPECIALIDADE;PUBLICO ALVO
Adam Sterling Cruz;58;adam.cruz@test.com;psicologia transpessoal, terapia cognitiva comportamental;criancas de 2 a 7 anos
Alan Foster Nordstrom;26;alan.nordstrom@test.com;psicologia transpessoal, humanista;pessoas depressivas
Amber Gore Witcher;69;amber.witcher@test.com;psicologia transpessoal, junguiana, froidiana;criancas problema na fala e locomocao
Arlene Ridgeway Townes;26;arlene.townes@test.com;psicologia transpessoal, atencao plena;sindrome do panico
Arthur Knopp Gibson;66;arthur.gibson@test.com;psicologia transpessoal, lacaniana;adolescentes de 13 a 16 anos
Belinda Bush Cybart;48;belinda.cybart@test.com;psicologia transpessoal, gestalt;adultos com transtorno do deficit de atencao com hiperatividade
Bennie Tripp Wooley;68;bennie.wooley@test.com;psicologia transpessoal, psicodrama;jovens com transtorno do deficit de atencao com hiperatividade
Bruno Benberry Welke;70;bruno.welke@test.com;psicologia transpessoal, positiva;mulheres vitimas de abuso
Carol Barber Flynn;30;carol.flynn@test.com;psicologia transpessoal, hipnoterapia;pessoas que quiram fazer regressao
Cherie Sellers Pilon;34;cherie.pilon@test.com;psicologia transpessoal, psicanálise;adolescentes de 13 a 16 anos
Christopher Lott Strawn;35;christopher.strawn@test.com;psicologia transpessoal, acupuntura;trauma da infancia
Christopher Wells Yowell;70;christopher.yowell@test.com;psicologia transpessoal, mandalas;geral
Concepcion Harvey Brown;39;concepcion.brown@test.com;psicologia transpessoal, reiki;geral
Daniel Brooks Silverman;67;daniel.silverman@test.com;psicologia transpessoal, logoterapia;crancas autistas
Debra Dejohn Alcaraz;35;debra.alcaraz@test.com;psicologia transpessoal, homeopatia;geral
Dennis Ruggles Cregan;68;dennis.cregan@test.com;psicologia transpessoal, aromaterapia;geral
Donald Brooks Schmidt;45;donald.schmidt@test.com;psicologia transpessoal, existencial ;trauma
Donna Long Chandler;68;donna.chandler@test.com;psicologia transpessoal, psiquiatria;geral
Dora Sliger Pritchard;34;dora.pritchard@test.com;psicologia transpessoal, somatica;criancas 8 a 12 anos
Dorothy Shah Aragon;65;dorothy.aragon@test.com;psicologia juridica;advogados, juízes, investigadores
Douglas Legace Yuro;63;douglas.yuro@test.com;psicologia juridica;advogados, juízes, investigadores
Edward Morris Nottage;29;edward.nottage@test.com;psicologia juridica;advogados, juízes, investigadores
Elva Murphy Creach;67;elva.creach@test.com;psicologia juridica;advogados, juízes, investigadores
Evelyn Burney Guttman;44;evelyn.guttman@test.com;psicologia juridica;advogados, juízes, investigadores
Francis Wilder Cobb;27;francis.cobb@test.com;psicologia juridica;advogados, juízes, investigadores
Gaynell Wider Campbell;39;gaynell.campbell@test.com;psicologia juridica;advogados, juízes, investigadores
Geneva Kessler Cloer;66;geneva.cloer@test.com;psicologia juridica;advogados, juízes, investigadores
Helen Dallas Han;44;helen.han@test.com;psicologia juridica;advogados, juízes, investigadores
Helen Manthe Wright;37;helen.wright@test.com;psicologia juridica;advogados, juízes, investigadores
Herman Hernandez Lucht;41;herman.lucht@test.com;psicologia juridica;advogados, juízes, investigadores
Jackie Giron Winkfield;60;jackie.winkfield@test.com;psicologia juridica;advogados, juízes, investigadores
Jackie Shaw Kio;29;jackie.kio@test.com;psicologia do esporte;atletas
James Durazo Warren;69;james.warren@test.com;psicologia do esporte;atletas
James Johnson Hall;32;james.hall@test.com;psicologia do esporte;atletas
James Wilson Bond;29;james.bond@test.com;psicologia do esporte;atletas
Janice Richardson Gilmore;25;janice.gilmore@test.com;psicologia do esporte;atletas
Jeffrey Kenney Thomas;33;jeffrey.thomas@test.com;psicologia do esporte;atletas
Jeffrey Pleasanton Lopez;33;jeffrey.lopez@test.com;psicologia do esporte;atletas
Jerry Bautista Elmore;65;jerry.elmore@test.com;psicologia do esporte;atletas
Jessica Carrillo Reed;47;jessica.reed@test.com;psicologia do esporte;atletas
Jesus Honeycutt Wilhelm;40;jesus.wilhelm@test.com;psicologia do esporte;atletas
Joann Fisher Johnson;58;joann.johnson@test.com;psicologia do esporte;atletas
Joyce Little Walker;69;joyce.walker@test.com;psicologia do esporte;atletas
Juliana Scales Fuller;66;juliana.fuller@test.com;psicologia do esporte;atletas
Karen Martinez Mccollough;59;karen.mccollough@test.com;psicologia do esporte;atletas
Katherine Sanders Battle;53;katherine.battle@test.com;psicologia do esporte;atletas
Kelly Meszaros Ochoa;31;kelly.ochoa@test.com;psicologia do esporte;atletas
Kenneth Byers Tomer;44;kenneth.tomer@test.com;psicologia do esporte;atletas
Krista Legros Russ;34;krista.russ@test.com;psicologia do esporte;atletas
Larry Parks Castille;60;larry.castille@test.com;psicologia do esporte;atletas
Loren Hernandez Garcia;50;loren.garcia@test.com;psicologia do esporte;atletas
Lorraine Lewis Everhart;70;lorraine.everhart@test.com;psicologia do esporte;atletas
Marco Rogers Epps;40;marco.epps@test.com;psicologia do esporte;atletas
Margaret Grim Cofield;48;margaret.cofield@test.com;psicologia social;grupos de apoio, organizações
Marie Rankin Murphy;36;marie.murphy@test.com;psicologia social;grupos de apoio, organizações
Mary Clennon Eads;39;mary.eads@test.com;psicologia social;grupos de apoio, organizações
Mary Long Hassell;48;mary.hassell@test.com;psicologia social;grupos de apoio, organizações
Mary Rufino Pfaff;56;mary.pfaff@test.com;psicologia social;grupos de apoio, organizações
Matilde Wilson Stine;69;matilde.stine@test.com;psicologia social;grupos de apoio, organizações
Michael Carnahan Gellert;26;michael.gellert@test.com;psicologia social;grupos de apoio, organizações
Mickey Whitford Abbott;25;mickey.abbott@test.com;psicologia social;grupos de apoio, organizações
Misty Robinson Snow;42;misty.snow@test.com;psicologia social;grupos de apoio, organizações
Nancy Mathews Davis;30;nancy.davis@test.com;psicologia social;grupos de apoio, organizações
Nellie Bordley Lima;43;nellie.lima@test.com;psicologia social;grupos de apoio, organizações
Norma Meyer Young;44;norma.young@test.com;psicologia social;grupos de apoio, organizações
Norman Donnelly Boutwell;41;norman.boutwell@test.com;psicologia social;grupos de apoio, organizações
Paul Bloomquist Wardinsky;52;paul.wardinsky@test.com;psicologia social;grupos de apoio, organizações
Paula Trantham Wood;66;paula.wood@test.com;psicologia social;grupos de apoio, organizações
Peter Litteral Capponi;26;peter.capponi@test.com;psicologia social;grupos de apoio, organizações
Rachel Felton Glaspie;51;rachel.glaspie@test.com;psicologia social;grupos de apoio, organizações
Ray Evans Clouston;67;ray.clouston@test.com;psicologia social;grupos de apoio, organizações
Richard Miller Engel;43;richard.engel@test.com;psicologia social;grupos de apoio, organizações
Richard Solomon Younce;61;richard.younce@test.com;psicologia social;grupos de apoio, organizações
Robert Padua Jackson;35;robert.jackson@test.com;psicologia social;grupos de apoio, organizações
Robert Schmitt Assante;58;robert.assante@test.com;psicologia social;grupos de apoio, organizações
Robert Wright Christner;42;robert.christner@test.com;psicologia social;grupos de apoio, organizações
Ruby Gonzales Etherington;63;ruby.etherington@test.com;psicologia social;grupos de apoio, organizações
Ruth Massenburg Dennis;25;ruth.dennis@test.com;psicologia social;grupos de apoio, organizações
Ryan Kahele Mccurry;25;ryan.mccurry@test.com;psicologia social;grupos de apoio, organizações
Ryan Powers Mikel;45;ryan.mikel@test.com;psicologia social;grupos de apoio, organizações
Sabrina Turnipseed Scott;41;sabrina.scott@test.com;psicologia social;grupos de apoio, organizações
Sandra Payne Green;43;sandra.green@test.com;psicologia social;grupos de apoio, organizações
Sarah Devit Miller;64;sarah.miller@test.com;psicologia social;grupos de apoio, organizações
Sarah Edwards Culp;34;sarah.culp@test.com;psicologia social;grupos de apoio, organizações
Scott Tasch Smiley;29;scott.smiley@test.com;psicologia social;grupos de apoio, organizações
Seth Kirk Hansford;63;seth.hansford@test.com;psicologia social;grupos de apoio, organizações
Stanley Gambill Boettcher;56;stanley.boettcher@test.com;psicologia social;grupos de apoio, organizações
Stanley Lyons Dabadie;66;stanley.dabadie@test.com;psicologia social;grupos de apoio, organizações
Stanley Woods Merrill;69;stanley.merrill@test.com;psicologia social;grupos de apoio, organizações
Stella Collins Day;44;stella.day@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Stephen Wallace Jackson;31;stephen.jackson@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Steven Alden Accardo;46;steven.accardo@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Tamiko Thompson Newell;64;tamiko.newell@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Thomas Edwards Curi;32;thomas.curi@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Tyler Lyle Erickson;64;tyler.erickson@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Vivian Hernandez Mangan;64;vivian.mangan@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Wesley Mendoza Barnett;46;wesley.barnett@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
William Mendez Crawford;45;william.crawford@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Willie Born Budds;33;willie.budds@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
Winston Potthoff Giannini;66;winston.giannini@test.com;psicologia educacional;alunos com dificuldade de desenvolvimento e aprendizagem
